timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545280685612633,-2,-6,-1,-2,2,4,4,0
1545280685612633,-1,-1,-1,-4,2,5,-4,-4
1545280685618623,-3,-3,2,0,3,6,1,-2
1545280685618623,2,1,5,8,-6,-7,-5,-2
1545280685635635,-3,1,-3,0,-5,-3,3,-2
1545280685635635,4,4,-7,-13,-2,-6,0,3
1545280685636636,-4,1,11,17,5,6,-3,-2
1545280685636636,0,1,-10,-8,-1,-8,-4,-2
1545280685657650,5,5,12,10,-11,10,-3,1
1545280685657650,-13,-17,-6,4,1,-17,0,-3
1545280685659652,-1,-2,-12,-21,-1,3,-1,0
1545280685659652,1,0,-12,-17,-1,0,1,3
1545280685672661,-7,-2,19,32,2,-6,-4,-4
1545280685672661,4,-1,-1,0,-6,9,-1,-2
1545280685678665,3,1,-2,6,8,1,5,1
1545280685678665,-7,-7,-3,-3,0,0,-3,-1
1545280685695677,-5,-4,-16,-21,2,6,-4,-1
1545280685695677,3,3,8,4,-3,-12,1,0
1545280685696678,-2,-3,5,8,-1,6,2,1
1545280685696678,4,4,2,-5,2,1,-7,-4
1545280685717705,0,-5,-4,-4,1,-2,-1,0
1545280685717705,-3,-2,-10,-10,-8,-4,-10,-6
1545280685719706,3,2,0,9,3,1,1,1
1545280685719706,1,1,4,-6,-4,4,2,1
1545280685731715,-16,-17,-14,-12,-8,-19,-7,-5
1545280685731715,6,4,13,13,14,9,6,3
1545280685738716,1,-2,-5,-14,-8,-5,-2,-2
1545280685738716,3,2,-3,1,2,1,2,1
1545280685755732,-1,3,5,-3,-3,-13,4,2
1545280685755732,3,-2,-5,4,0,14,1,1
1545280685756720,-4,-5,-8,-19,-3,0,-5,-3
1545280685756720,-2,0,7,18,-12,-8,-5,-1
1545280685777735,-1,0,7,10,3,1,-4,-3
1545280685777735,0,4,1,-6,2,-6,4,4
1545280685779738,-1,-1,-2,-4,1,2,0,1
1545280685779738,-5,-4,-1,2,2,2,-1,-3
1545280685791745,2,3,-8,-12,-6,-6,1,0
1545280685791745,6,-1,-2,5,1,6,-2,-1
1545280685798750,0,-1,3,4,-5,-6,-5,-3
1545280685798750,-5,-1,0,-8,0,-6,4,3
1545280685815764,4,-6,-4,4,1,8,0,-2
1545280685815764,-5,-3,5,-5,6,-8,-3,-2
1545280685816789,2,7,-9,-5,-8,-8,-5,1
1545280685816789,0,-2,-3,-6,-10,-15,4,0
1545280685837779,-2,3,7,10,12,6,-3,0
1545280685837779,-3,-4,2,6,0,9,-2,-3
1545280685839797,1,-4,-8,-16,4,-6,1,-2
1545280685839797,-7,-3,13,14,-11,0,-3,-4
1545280685851799,2,3,-15,-20,5,1,3,0
1545280685851799,2,1,1,3,1,-2,0,1
1545280685858805,-5,0,4,1,-8,-7,-2,-1
1545280685858805,2,-1,-4,8,7,8,2,0
1545280685875817,3,4,-5,-19,-4,2,0,1
1545280685875817,-3,-1,15,39,2,13,0,0
1545280685876805,-3,-3,-12,-16,-9,-20,-6,-3
1545280685876805,4,-1,-2,0,0,-2,-1,0
1545280685897833,3,8,-10,-21,-4,2,2,2
1545280685897833,-4,-7,3,-2,3,9,-2,-3
1545280685899823,-8,-4,1,14,4,10,4,-2
1545280685899823,7,0,-1,-2,-3,-6,-2,-1
1545280685911832,-9,-5,-1,2,3,-2,-5,-1
1545280685911832,-1,0,-22,-33,-12,-8,-1,1
1545280685920849,-3,0,16,18,-9,8,-2,-2
1545280685920849,0,3,5,19,2,-16,0,-1
1545280685935849,3,0,-4,-2,0,0,5,2
1545280685935849,-2,-3,-8,-12,-1,-4,-13,-6
1545280685936848,6,-4,-9,-13,11,10,3,3
1545280685936848,-14,-4,1,15,-2,7,-1,-2
1545280685957863,-3,-5,14,12,-9,-7,-3,-4
1545280685957863,-4,1,-3,-14,-11,-12,-1,-3
1545280685959876,0,-1,-15,-18,-2,-5,-3,-1
1545280685959876,3,1,10,9,4,10,5,2
1545280685971890,-2,2,-15,-10,-1,3,2,0
1545280685971890,1,0,7,12,0,-9,0,0
1545280685987884,-1,-4,-2,2,0,-4,-4,-2
1545280685987884,3,-2,-8,-27,-2,0,-3,0
1545280685994907,-2,-2,1,17,-2,2,-4,-2
1545280685994907,3,1,2,8,1,2,-1,1
1545280685996890,-3,-1,2,-4,-6,-3,-6,-3
1545280685996890,1,1,-2,-2,10,5,9,2
1545280686017920,-4,-8,-5,-16,-3,-8,-9,-2
1545280686017920,3,0,-1,15,16,29,6,2
1545280686019907,-3,-5,20,28,-11,-29,0,-4
1545280686019907,-1,0,-2,-9,-7,11,-9,-4
1545280686031928,2,0,0,-3,3,2,-3,-2
1545280686031928,-1,-3,-11,-21,-2,-6,4,2
1545280686040931,2,-2,-14,-12,-7,-1,-2,1
1545280686040931,1,1,11,6,8,5,10,-4
1545280686054944,-5,0,-1,-2,-4,-8,-9,-3
1545280686054944,-6,-1,2,0,-1,0,3,-1
1545280686056933,-10,-2,0,17,20,14,4,-2
1545280686056933,9,-8,-11,-25,-24,-31,-8,4
1545280686077960,2,1,14,8,0,5,2,-1
1545280686077960,-2,-4,-7,-5,-11,-11,-7,-4
1545280686079959,5,5,0,-21,-4,7,5,15
1545280686079959,-2,1,-5,19,18,12,4,-10
1545280686091973,-1,2,1,4,5,-2,3,1
1545280686091973,7,-1,-2,-6,-4,5,-2,2
1545280686100965,-7,-4,1,10,-6,-6,-1,-10
1545280686100965,1,-3,-10,-10,1,7,1,15
1545280686114988,0,1,-1,-2,-4,-2,-7,-7
1545280686114988,-1,0,1,4,-9,-17,7,4
1545280686116976,5,0,-2,5,8,14,3,4
1545280686116976,-3,-3,0,-39,-4,-6,-7,-7
1545280686138010,-8,-3,9,56,8,5,3,-2
1545280686138010,5,1,3,-23,4,5,-2,-12
1545280686140002,6,-2,-11,-9,-9,-11,0,20
1545280686140002,-5,-3,-2,-3,0,6,-11,-21
1545280686151018,-18,-2,1,1,5,17,2,-3
1545280686151018,-3,-5,-3,5,-16,-33,-20,-4
1545280686161024,9,4,17,-3,11,5,31,6
1545280686161024,-8,-8,-28,11,-12,-16,-14,-14
1545280686175028,9,1,4,19,-7,-10,1,29
1545280686175028,-10,-3,2,-2,-3,11,5,-25
1545280686177018,4,0,3,5,15,7,-7,10
1545280686177018,-4,-5,-6,-8,-5,-5,-9,11
1545280686198045,5,0,-8,1,-13,-12,4,-8
1545280686198045,-3,-4,14,19,8,5,0,7
1545280686200034,-2,-3,-9,9,-9,-5,-6,-10
1545280686200034,1,3,16,-5,4,3,5,6
1545280686211054,7,6,-24,-37,8,8,7,0
1545280686211054,-5,-6,16,16,8,17,0,1
1545280686228055,-12,-11,-33,-40,-30,-19,-14,-19
1545280686228055,6,10,24,41,6,-16,1,6
1545280686235074,-8,-3,29,-7,-6,4,-2,-6
1545280686235074,-9,-4,-46,-38,-5,-7,-4,-3
1545280686237061,3,9,-4,-15,11,6,-3,2
1545280686237061,2,5,-4,-11,-3,7,0,7
1545280686265092,4,9,7,2,16,10,10,9
1545280686265092,15,-3,4,18,1,-11,-10,-1
1545280686267084,-16,-9,-7,4,2,-1,-16,-12
1545280686267084,6,2,-16,-52,-11,0,15,25
1545280686271099,-9,-8,4,42,-8,-15,-25,-10
1545280686271099,-8,-2,2,-38,0,-1,3,27
1545280686280104,-4,3,3,22,6,0,-1,-25
1545280686280104,14,1,-13,-16,8,24,10,3
1545280686295113,-2,0,20,10,-2,-9,2,-7
1545280686295113,6,2,-22,-49,-6,0,3,-5
1545280686297103,-1,-5,0,-30,-12,-3,-9,2
1545280686297103,-10,-3,13,2,7,6,3,-8
1545280686318130,7,-2,-37,23,4,-3,0,-6
1545280686318130,-6,2,45,42,-6,-8,-4,-7
1545280686319131,0,-4,-4,-5,3,4,5,0
1545280686319131,-2,3,-16,13,3,6,-5,-10
1545280686331144,-4,-5,27,-4,-14,-12,0,-1
1545280686331144,-3,-5,-30,-10,6,3,2,0
1545280686340150,6,2,16,16,4,10,-5,-1
1545280686340150,-1,1,2,6,-7,-14,3,7
1545280686355156,-14,-3,-18,-21,-9,-4,-12,-29
1545280686355156,2,7,11,18,-3,3,5,2
1545280686361160,6,-2,-3,-7,5,6,9,7
