timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1532933801466150,1,-1,-8,-4,-8,-1,-7,-3
1532933801466150,-6,-10,-3,-1,-11,-5,-7,-3
1532933801466150,-2,-3,1,-5,10,6,0,1
1532933801466150,7,-4,6,4,11,6,2,5
1532933801467150,0,-2,2,-3,9,-3,-1,-1
1532933801467150,9,-2,-4,-5,1,-4,-1,-1
1532933801468152,-9,3,-3,7,-9,-2,-3,0
1532933801468152,0,4,-2,-1,1,-2,-3,-1
1532933801480160,1,2,0,2,9,7,5,0
1532933801480160,-4,0,-3,-6,-10,-3,0,0
1532933801489166,4,1,-1,-8,-6,-11,0,-1
1532933801489166,-5,-3,2,0,3,-2,-7,-3
1532933801495170,0,-6,8,6,-7,-1,-3,0
1532933801495170,-5,-3,-5,-4,-8,-3,3,-2
1532933801509180,4,1,-5,0,1,0,-2,1
1532933801509180,-2,-1,-5,1,8,14,9,2
1532933801520188,3,1,0,0,6,6,3,-2
1532933801520188,-7,-3,0,-1,3,-2,-11,-1
1532933801532197,-1,-1,2,5,-4,-7,-5,1
1532933801532197,2,-1,-7,-3,10,-3,3,-2
1532933801540203,1,-1,-8,-3,-13,-9,6,3
1532933801540203,-1,6,13,9,3,2,-2,-13
1532933801561272,-4,-2,-2,-5,-11,-4,1,-6
1532933801561272,-3,-1,0,-5,-6,-2,-4,-3
1532933801593253,0,6,2,-3,3,0,-4,3
1532933801593253,-2,1,6,3,2,-6,-14,-3
1532933801594241,2,2,3,9,4,12,5,3
1532933801594241,-4,-8,-9,-1,-2,-3,0,-3
1532933801594241,0,-7,-8,-3,-6,2,3,-3
1532933801594241,-5,-8,2,-10,-13,-7,1,-1
1532933801595243,-1,-5,2,-3,2,1,-1,-3
1532933801595243,-2,3,-3,3,-13,-2,1,-2
1532933801606309,-2,1,2,7,22,0,1,3
1532933801606309,2,3,-7,-4,-1,1,5,3
1532933801614348,2,4,10,13,2,-9,-6,2
1532933801614348,0,4,-3,-5,-9,1,-6,1
1532933801621318,0,1,0,5,-8,3,-4,-3
1532933801621318,3,-6,-1,4,7,3,4,1
1532933801637312,0,-12,-8,-5,4,5,1,1
1532933801637312,1,-6,-5,-3,10,-6,-3,-3
1532933801643324,-2,-1,1,-11,-12,-5,7,-1
1532933801643324,-1,2,4,0,0,5,4,0
1532933801659347,-6,-1,-1,-9,0,-1,-8,-5
1532933801659347,-3,0,-2,-5,-6,-6,-9,-2
1532933801666333,-8,3,-4,8,0,1,4,-1
1532933801666333,-3,4,-5,-9,-12,-2,6,0
1532933801682347,2,3,2,4,9,-7,-4,-5
1532933801682347,2,-4,-3,-5,-3,-5,3,-2
1532933801684344,0,-3,-5,-1,7,-1,2,0
1532933801684344,0,2,-1,6,3,-10,-4,-1
1532933801705360,0,1,-6,-6,-13,-1,-5,-2
1532933801705360,2,-2,9,7,18,10,0,2
1532933801706360,4,2,1,0,-14,-7,-5,-2
1532933801706360,-4,-10,-4,-2,5,-1,2,2
1532933801719370,-6,-1,-5,-6,1,0,2,3
1532933801719370,0,1,14,12,3,7,-2,2
1532933801726376,-1,-10,-2,-12,-9,-2,-4,2
1532933801726376,3,-1,2,5,-2,-2,-5,0
1532933801743440,-1,0,0,-6,-12,-5,3,-5
1532933801743440,-3,0,-3,3,-5,4,3,-1
1532933801744426,1,1,0,10,8,1,-17,-6
1532933801744426,0,-5,-2,-11,-4,-2,0,-5
1532933801765406,2,-8,-4,-6,2,-3,-10,-3
1532933801765406,-1,1,-3,-5,-1,-4,-1,-3
1532933801766403,2,0,0,7,-6,-2,5,-1
1532933801766403,-2,6,3,2,16,2,2,0
1532933801779415,-4,1,-4,15,1,4,2,1
1532933801779415,-8,-4,-9,-32,-9,-2,1,-9
1532933801786418,13,9,12,-7,4,-2,3,14
1532933801786418,-15,-5,-5,1,-8,-3,1,-1
1532933801802428,6,-3,-4,-2,2,-2,0,18
1532933801802428,1,3,-1,8,0,0,-6,-13
1532933801804431,-1,-14,-2,-17,-5,-6,2,-4
1532933801804431,2,0,11,12,1,-5,-8,-10
1532933801825498,2,3,-18,-23,-2,14,8,11
1532933801825498,-1,-7,-12,1,6,11,1,8
1532933801826445,-7,14,5,-7,-10,-9,-3,-4
1532933801826445,5,6,-1,7,4,1,6,7
1532933801839454,-5,3,7,1,-3,-9,-4,-11
1532933801839454,-3,-2,21,4,-4,-3,1,-4
1532933801847460,-7,-7,-16,-12,-4,-6,-5,-7
