timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545020360933867,-1,-2,-2,-2,1,6,-2,-1
1545020360933867,0,0,-1,-1,-1,-5,-1,1
1545020360935867,-1,-3,-1,-1,-6,-5,-1,-1
1545020360935867,-2,0,-2,0,7,4,1,-3
1545020360956882,0,0,0,1,-1,-2,-1,-2
1545020360956882,-1,-1,0,1,0,2,-1,0
1545020360957883,-2,-1,-1,0,0,2,-2,-1
1545020360957883,0,-2,-4,-4,-8,-2,-1,0
1545020360969891,0,0,-1,-2,-6,-4,-1,-1
1545020360969891,1,-1,-2,-2,4,0,-1,0
1545020360978897,-2,-1,0,-1,-1,0,0,0
1545020360978897,-2,-1,-1,-2,-4,0,0,-1
1545020360993908,-1,1,0,3,-1,-3,-2,-1
1545020360993908,-3,0,-1,-2,0,0,-1,-1
1545020360995909,0,-3,0,0,-1,-1,0,0
1545020360995909,-3,0,0,0,-1,1,1,-2
1545020361016936,0,-2,-2,0,0,-2,3,-1
1545020361016936,0,-1,-1,-2,-5,-4,-3,-1
1545020361017937,-2,-1,-3,-2,6,6,-1,-1
1545020361017937,1,0,0,-1,2,1,-2,0
1545020361029933,0,0,-3,0,-3,-5,0,-1
1545020361029933,0,2,0,-2,-1,2,0,1
1545020361038952,-2,-3,-2,0,-1,-5,0,-1
1545020361038952,-1,-2,-1,-4,-5,-2,1,0
1545020361053970,-1,0,1,-2,0,0,-2,-2
1545020361053970,0,-2,1,1,0,-2,0,-3
1545020361055965,1,0,0,1,-2,1,-2,1
1545020361055965,1,-3,-2,0,2,-2,-1,-1
1545020361076967,1,-1,-1,-1,-3,-4,-3,-2
1545020361076967,-1,-3,-1,3,3,1,0,-1
1545020361077969,-3,-3,-1,0,-1,0,-1,-1
1545020361077969,-1,0,-2,-2,-3,1,-1,-2
1545020361089976,-1,-2,-2,-1,-4,-3,-1,-3
1545020361089976,-1,0,0,-1,3,0,-2,-2
1545020361098982,-1,-2,0,-2,3,0,0,-1
1545020361098982,-3,-1,-1,1,-2,-5,-2,-2
1545020361113994,2,1,1,-2,-4,-3,-2,-1
1545020361113994,1,1,-1,-4,-1,3,0,0
1545020361115994,-1,0,-2,0,-2,-2,0,0
1545020361115994,-3,-3,-1,1,3,-2,-1,-1
1545020361144026,1,0,-1,-3,-6,-8,-11,-2
1545020361144026,0,-5,-3,-2,-7,-5,4,0
1545020361146016,3,-1,0,-2,-1,2,-1,0
1545020361146016,-3,-2,0,-2,-1,-1,-2,-4
1545020361150018,-4,2,-1,0,5,-1,-1,-3
1545020361150018,0,0,0,0,-1,4,-2,0
1545020361159024,-2,-1,-1,0,-2,-1,0,-1
1545020361159024,0,1,0,-1,-8,-2,-4,0
1545020361174048,0,-2,-2,-1,4,0,1,1
1545020361174048,2,-1,1,-1,4,0,-1,-1
1545020361176049,-1,-1,0,-3,-7,-3,0,-2
1545020361176049,1,2,0,-2,-4,1,0,0
1545020361197064,-2,-2,-2,0,2,0,3,-1
1545020361197064,-3,-2,-1,1,-2,-3,0,-1
1545020361198054,-3,-1,1,-1,0,-9,-4,-1
1545020361198054,-1,0,-1,-1,3,6,-1,-2
1545020361219080,-2,1,1,-2,-2,0,1,-2
1545020361219080,-1,-3,-1,1,-4,-1,-2,1
1545020361221081,0,0,-3,0,-2,-3,0,-1
1545020361221081,-1,0,-2,0,2,-1,1,-1
1545020361234092,0,0,0,0,-3,2,1,0
1545020361234092,-3,-1,0,0,-3,-3,-2,0
1545020361236094,0,-2,-1,-1,4,1,-1,-2
1545020361236094,-2,0,-1,0,-1,-2,2,0
1545020361257106,-1,-2,0,0,-1,4,-2,-1
1545020361257106,0,1,-1,-3,-1,-3,-1,-3
1545020361258096,0,-4,-1,-2,-5,1,0,0
1545020361258096,-1,-1,-3,-1,5,-1,-1,-1
1545020361279122,-2,-2,-1,0,-3,-2,-1,-1
1545020361279122,-2,-2,0,0,-6,-2,-1,-1
1545020361281123,0,-1,-1,1,1,-1,-1,-1
1545020361281123,2,1,-1,0,-1,-2,1,-1
1545020361294133,-1,0,-1,-1,2,7,-1,0
1545020361294133,-3,-2,-3,-2,1,-2,-1,-1
1545020361296134,-2,-1,-2,-1,-3,-1,-2,-1
1545020361296134,-1,-2,1,-1,-6,-6,-4,0
1545020361317160,0,0,-4,-3,1,-1,0,0
1545020361317160,-1,0,-1,1,1,2,1,-1
1545020361318139,-2,-1,-1,-3,-2,-5,-1,0
1545020361318139,0,0,0,-2,-1,-8,-6,-4
1545020361340166,-4,-1,0,3,2,2,1,-7
1545020361340166,1,-4,-2,-9,-2,-2,-4,5
1545020361342154,0,1,-1,5,-2,-15,-2,19
1545020361342154,1,-1,1,-8,0,23,1,2
1545020361354163,-1,0,-2,3,-5,-5,1,-1
1545020361354163,0,-2,-1,1,5,2,1,-4
1545020361356177,0,-3,0,0,0,-3,-4,-1
1545020361356177,1,1,-2,0,0,-9,-5,-3
1545020361377179,0,-1,2,-1,-3,-1,0,0
1545020361377179,-1,-3,-3,-2,-4,-2,-1,-1
1545020361378179,-1,-2,-2,-1,-1,2,-2,-4
1545020361378179,-1,-1,-2,-1,-1,-1,3,-2
1545020361399194,-1,-1,-1,-8,1,2,2,-3
1545020361399194,0,-1,2,2,-4,-5,-1,2
1545020361401196,-2,-1,-1,9,2,-2,-5,-6
1545020361401196,-2,1,-1,17,6,3,3,-2
1545020361421220,0,-1,3,30,2,-6,-9,2
1545020361421220,-1,0,-12,-87,-13,-2,-4,2
1545020361423216,5,0,4,5,-5,1,3,1
1545020361423216,-6,0,3,14,-2,-1,6,-5
1545020361436221,-1,-1,-6,-2,2,-4,-4,-1
1545020361436221,-3,-2,2,30,4,-4,-3,-4
1545020361438222,2,-3,-1,-10,-3,1,-1,-5
1545020361438222,0,-1,-2,2,-5,-7,-4,-1
1545020361459236,-1,-1,1,-1,2,1,2,0
1545020361459236,0,-1,1,10,5,0,1,1
1545020361461238,-3,0,-4,-13,-3,3,0,-1
1545020361461238,0,-1,-1,1,0,-3,-4,-2
1545020361473246,0,-2,-1,-9,-9,-5,-1,-3
1545020361473246,-1,-1,0,4,2,3,1,2
1545020361480251,-4,-2,-1,9,4,0,-2,-4
1545020361480251,-2,1,-2,-12,-4,-2,-1,1
1545020361496263,0,2,-2,-11,-2,-2,1,0
1545020361496263,-1,-1,3,15,-2,-6,-1,-3
1545020361498265,-2,-1,-1,-1,2,10,0,-4
1545020361498265,-1,-1,-1,-7,-3,-3,0,2
1545020361519280,1,1,-3,-6,-1,1,-1,0
1545020361519280,0,-2,0,12,2,-2,-1,-3
1545020361521282,-1,0,2,-3,-4,-1,0,-3
1545020361521282,-1,-3,-9,-14,-4,-2,-1,-3
1545020361533289,-2,-3,0,4,2,-1,-3,1
1545020361533289,-1,1,0,2,-3,2,-1,-3
1545020361540294,-1,-1,-1,-4,4,2,1,2
1545020361540294,0,0,4,0,-3,0,-1,0
1545020361556306,-1,-1,-1,-2,-2,-4,-7,-2
1545020361556306,-2,-4,-3,2,-1,1,0,-1
1545020361558311,-1,-1,-2,-4,-3,-3,-3,-2
1545020361558311,0,-1,1,0,0,-7,-3,-1
1545020361579334,-2,-1,-5,-3,-1,-8,-12,-2
1545020361579334,1,-1,5,24,2,13,8,1
1545020361580335,-2,0,-1,-27,-3,-23,-6,-4
1545020361580335,-1,-4,-6,9,-5,10,21,0
1545020361593350,2,2,5,2,9,22,3,2
1545020361593350,-5,-2,-6,-2,0,-31,-3,20
1545020361600354,13,1,6,-8,1,33,4,-8
1545020361600354,-8,3,12,23,1,10,5,-5
1545020361616361,2,4,13,40,5,14,22,-7
1545020361616361,10,-8,-9,-58,-11,0,-9,-3
1545020361618353,2,-2,9,74,7,-15,1,3
1545020361618353,13,4,0,-33,0,-30,-23,11
1545020361639365,-3,-2,-20,-34,-7,16,-1,-2
1545020361639365,-5,1,-6,9,1,2,16,-15
1545020361640365,-4,-8,-16,-65,-17,-47,-11,-2
1545020361640365,-12,-2,17,25,10,53,8,-2
1545020361653374,1,-1,7,63,11,-20,-12,-5
1545020361653374,-16,-1,1,-73,-8,18,15,-8
1545020361660379,-7,-2,-23,-8,-10,-42,-34,2
1545020361660379,7,1,-1,13,2,37,27,-4
1545020361676390,-9,-5,3,12,-6,-11,-2,-3
1545020361676390,-3,2,-7,-9,3,-8,-26,15
1545020361678392,-9,-3,11,24,3,5,7,-16
1545020361678392,14,2,-2,-30,-6,-5,14,6
1545020361699407,-8,1,0,15,2,-8,-16,-9
1545020361699407,5,-3,-4,13,-2,-4,0,14
1545020361700407,-3,0,5,-1,5,19,10,9
1545020361700407,-6,-4,-26,-27,-6,-28,-13,-2
1545020361713417,7,1,7,-62,-8,-9,2,0
1545020361713417,-8,-3,9,66,1,-7,-5,-6
1545020361720422,9,3,-1,26,8,24,14,10
1545020361720422,-16,-3,2,5,-1,-26,-32,-24
1545020361736433,2,-3,-8,-4,-1,22,28,2
1545020361736433,6,0,4,-27,-8,10,-12,-6
1545020361738434,2,1,5,32,3,2,2,0
1545020361738434,-6,2,-2,4,9,22,4,3
1545020361759449,-2,-6,-7,-27,-16,-12,-19,5
1545020361759449,-3,-5,-5,5,-3,-24,-4,-13
1545020361760450,-2,-4,-5,-1,-4,22,-3,-4
1545020361760450,0,0,-3,-23,-6,-32,-10,2
1545020361772458,5,1,3,43,6,1,8,0
1545020361772458,5,-1,5,4,-1,7,5,9
1545020361787469,-9,-3,-6,-16,0,-3,-4,-12
1545020361787469,2,-1,3,11,2,-13,-7,0
1545020361796475,-3,2,-6,-19,-2,6,0,2
1545020361796475,2,-1,1,41,5,2,-2,-5
1545020361798477,-1,3,-3,-41,-7,-5,-11,6
1545020361798477,-3,-3,-4,-2,2,9,7,0
1545020361819492,0,2,10,26,-3,-20,7,-1
1545020361819492,-2,-2,-1,-24,-7,-4,-6,-3
1545020361820493,0,-2,-6,-10,11,21,-8,-2
1545020361820493,0,-1,2,16,-3,-1,-6,-1
1545020361832501,-5,-4,-7,-16,0,-5,1,-2
1545020361832501,6,2,5,14,4,15,11,11
1545020361841508,-9,-3,-3,1,-7,-41,-26,-8
1545020361841508,0,0,-3,-10,2,48,34,3
1545020361856518,-1,-2,1,-18,-6,-6,-8,3
1545020361856518,-1,4,-2,39,6,-4,-5,-6
1545020361858520,-1,-3,-5,-64,-9,1,9,1
1545020361858520,0,-2,-8,4,-1,-17,-10,0
1545020361879535,0,2,6,10,-4,-4,-3,-4
1545020361879535,-3,-1,-1,3,0,2,4,-4
1545020361881537,2,1,3,25,2,8,12,3
1545020361881537,1,-2,-1,-11,-8,-16,-8,-2
1545020361892544,2,-1,-7,-16,10,8,-2,1
1545020361892544,1,-1,-1,-14,2,-2,-8,-5
1545020361901550,-4,-5,-2,15,-1,0,7,1
1545020361901550,4,7,5,0,-6,-7,11,3
1545020361916561,1,-2,-8,-16,-2,-9,-8,-2
