timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545282225606144,-3,0,15,4,-2,-3,11,-8
1545282225606144,5,0,-12,0,1,2,8,42
1545282225607145,8,14,52,28,5,2,1,5
1545282225607145,1,1,-34,-8,0,-2,-16,-4
1545282225608145,-8,-22,-63,-27,-10,-5,7,-19
1545282225608145,-1,1,26,10,2,-3,-21,-13
1545282225611147,11,-3,-92,-26,-7,0,7,-11
1545282225611147,6,-13,91,-4,-1,1,-10,3
1545282225617152,-1,10,10,15,4,0,-13,26
1545282225617152,-16,-14,-44,-1,-6,-4,-3,-30
1545282225627160,1,10,50,-5,1,-6,1,10
1545282225627160,9,12,-42,11,4,5,2,-27
1545282225633164,-5,-24,-86,-29,-9,-7,-3,-15
1545282225633164,13,10,57,3,3,0,-6,25
1545282225648176,-14,3,95,30,3,2,-21,0
1545282225648176,-10,12,17,1,-2,-4,-13,-3
1545282225657180,-2,-18,-32,-10,-8,-8,42,22
1545282225657180,3,6,2,-5,2,9,6,-9
1545282225679195,-2,19,15,11,6,-6,-20,-37
1545282225679195,-11,-23,44,17,-3,4,26,35
1545282225681198,30,14,40,-7,4,6,-29,-13
1545282225681198,-15,-12,71,-17,-11,-4,24,8
1545282225692221,-3,-7,-116,12,3,2,-1,7
1545282225692221,-1,25,30,25,0,-6,15,-10
1545282225735235,9,24,35,43,10,2,9,-6
1545282225735235,-14,-27,8,18,3,1,-33,4
1545282225739238,-7,-5,-54,-19,-5,-2,-7,-32
1545282225739238,-4,20,90,-9,0,-1,55,32
1545282225739238,22,-9,-106,-17,4,1,-57,-6
1545282225739238,6,3,21,-2,1,1,16,2
1545282225740239,-12,-21,-51,-31,-10,-8,-49,18
1545282225740239,8,5,-48,10,-3,0,30,-52
1545282225746243,-1,23,113,76,13,5,30,10
1545282225746243,2,-17,-103,-72,-14,-6,12,-2
1545282225752246,-18,-1,103,5,5,1,15,-3
1545282225752246,7,-8,24,-11,-6,-1,-12,18
1545282225768259,0,19,65,33,5,0,2,-11
1545282225768259,3,-10,-60,-36,-7,-4,-21,2
1545282225775264,-28,-26,-48,9,-8,-7,0,-57
1545282225775264,11,17,31,4,8,7,25,28
1545282225782269,1,5,75,-3,0,-2,7,25
1545282225782269,-9,-9,-17,1,-8,-5,-1,-18
1545282225806286,7,-7,-13,-2,-2,0,0,29
1545282225806286,-6,-10,-31,-17,-5,-4,-27,-22
1545282225807287,-16,-50,-104,-62,-21,-8,-16,-16
1545282225807287,13,27,69,15,9,3,4,28
1545282225820296,16,23,31,12,6,4,10,3
1545282225820296,-13,-18,25,31,-8,-9,-31,-20
1545282225828301,-1,8,39,-25,2,8,38,16
1545282225828301,-5,12,91,44,5,-4,-37,-16
1545282225843311,16,12,42,11,4,3,25,-22
1545282225843311,-3,-19,-86,-30,0,-2,8,28
1545282225844317,-3,1,40,3,-7,-2,-10,-15
1545282225844317,-10,1,45,30,2,0,-7,-11
1545282225866328,12,18,-9,-19,1,-2,-12,15
1545282225866328,-15,-24,-78,0,6,-3,-5,-33
1545282225867329,6,6,34,14,-4,1,-50,6
1545282225867329,8,29,-18,47,23,11,20,2
1545282225880337,-4,-29,-92,-21,-11,-6,28,5
1545282225880337,9,39,71,9,-2,6,-35,-3
1545282225888343,1,-48,-128,-22,-7,-6,52,9
1545282225888343,1,23,64,17,6,7,8,23
1545282225903354,-7,-5,-53,-19,9,3,-21,-41
1545282225903354,8,4,46,40,7,8,0,33
1545282225904355,13,19,53,-4,-2,3,38,7
1545282225904355,-13,-12,75,-19,-3,-2,-9,-30
1545282225926370,14,8,59,33,-1,-2,42,8
1545282225926370,-4,-7,17,-14,-7,-6,-23,-11
1545282225927371,-19,-33,-48,-41,-5,-8,-32,-22
1545282225927371,17,22,69,35,7,4,31,20
1545282225940392,1,-2,-68,-23,-12,-1,-33,38
1545282225940392,-4,-8,22,-32,-1,-4,14,-14
1545282225948386,-4,2,13,25,0,-4,-9,-1
1545282225948386,-14,-17,-11,-16,-1,-13,-11,-20
1545282225963397,19,42,74,68,3,10,-50,1
1545282225963397,-9,-13,-51,19,6,0,18,7
1545282225964397,-7,12,57,7,1,-5,3,-28
1545282225964397,-12,-15,-27,-6,-16,-4,10,-10
1545282225993418,19,28,127,21,18,15,82,79
1545282225993418,-14,-19,-71,14,1,-4,-49,-24
1545282225994418,-6,22,41,-2,3,1,16,-11
1545282225994418,15,-17,19,-7,-13,-6,-15,38
1545282226000436,3,-13,54,4,-11,-14,-4,-33
1545282226000436,-35,16,-25,5,6,6,-8,-4
1545282226008429,13,-3,-61,-52,2,1,-22,2
1545282226008429,-2,-6,-23,38,-2,5,30,16
1545282226023438,-13,-19,-79,-51,-5,-4,-20,-15
1545282226023438,12,9,79,75,12,-1,-13,14
1545282226024439,-8,-11,-3,-21,-10,-9,20,35
1545282226024439,8,9,-26,-80,-12,3,5,-7
1545282226046455,-2,25,78,103,20,1,24,-6
1545282226046455,1,-7,-14,-36,-12,-4,4,-17
1545282226047455,-13,3,10,36,7,-2,-6,18
1545282226047455,16,11,28,49,8,-3,-44,25
1545282226070472,-8,-9,-73,-95,-11,-3,54,37
1545282226070472,7,13,43,31,-10,-7,-15,21
1545282226071473,-12,-22,14,-46,-7,-3,6,-4
1545282226071473,5,-11,-31,-3,-7,-3,16,9
1545282226083482,-16,23,68,29,6,4,-87,-14
1545282226083482,29,-24,-35,-32,-4,-5,28,26
1545282226083482,1,15,10,27,0,3,13,-49
1545282226083482,-5,-7,-39,-5,5,-4,-4,-5
1545282226106498,-7,-23,-13,-1,-4,1,-13,-2
1545282226106498,12,7,17,-29,3,0,21,-9
1545282226107499,6,0,53,49,0,-2,-43,15
1545282226107499,-6,7,4,-12,-2,-4,6,15
1545282226128513,6,-13,-24,-45,-10,-2,30,46
1545282226128513,-4,2,18,0,2,2,-14,29
1545282226129514,-5,1,12,31,-2,-1,-1,13
1545282226129514,-1,2,-18,0,-1,-1,-4,-1
1545282226143524,-10,-20,-13,-5,1,-4,-9,-13
1545282226143524,-16,-5,-76,-63,-11,1,-17,-49
1545282226143524,1,0,20,23,4,-1,-21,-6
1545282226143524,8,6,-20,23,-3,-6,-2,-6
1545282226166540,9,9,-2,-9,-1,-2,-4,-33
1545282226166540,-3,-3,-16,-50,-1,0,9,-17
1545282226167541,-2,-4,30,4,-3,4,9,-15
1545282226167541,-12,10,-72,-8,3,2,-15,-41
1545282226188555,10,-10,-29,15,-2,-7,0,-26
1545282226188555,11,33,15,6,2,0,0,-12
1545282226189556,-2,-6,-35,-19,-1,0,0,-33
1545282226189556,12,3,-5,-31,-16,0,19,-35
1545282226203567,-6,2,37,52,3,0,0,-44
1545282226203567,11,5,17,3,1,2,2,-109
1545282226203567,0,9,-40,-15,-1,-2,-5,-107
1545282226203567,-28,-44,0,-2,1,-5,0,-118
1545282226226583,-16,-7,-22,-23,-9,-4,-6,-68
1545282226226583,4,17,28,28,-2,-3,5,18
1545282226227584,17,11,-31,-16,1,2,-25,49
1545282226227584,-3,-10,2,-16,-6,-2,-4,50
1545282226248611,-3,-3,-4,-5,1,-1,-3,69
1545282226248611,-25,-26,4,-2,-1,1,-6,54
1545282226250610,-6,-18,-18,6,-2,0,17,70
1545282226250610,-16,-24,-27,-20,-4,-3,-6,54
1545282226263610,6,-4,10,1,-1,-2,-3,46
1545282226263610,2,9,4,34,6,-1,-7,47
1545282226263610,9,-13,-16,-9,-1,3,1,48
1545282226263610,0,5,18,3,8,2,4,29
1545282226286626,-13,0,-7,-3,3,0,-4,15
1545282226286626,7,-3,7,0,-11,-4,-1,14
1545282226287627,-7,14,-11,-10,-11,-5,0,13
1545282226287627,-7,-4,-5,-5,12,7,5,7
1545282226308642,7,-4,11,19,5,-3,-3,2
1545282226308642,-10,-24,-35,-16,-8,-1,6,11
1545282226309642,5,-3,5,0,5,1,-15,-4
1545282226309642,14,17,-2,-1,-2,-2,10,-1
1545282226323652,6,18,-13,-23,-5,0,0,-3
1545282226323652,-33,-43,19,11,0,0,-9,-6
1545282226323652,7,33,-20,-31,-3,-3,14,1
1545282226323652,3,0,-1,19,-2,-2,-9,-5
1545282226346668,0,-20,0,-8,-5,-1,-7,-21
1545282226346668,17,33,10,6,-2,0,1,5
1545282226346668,6,-5,-15,-11,-8,-3,14,-9
1545282226346668,0,26,11,24,-4,0,-1,-7
1545282226368697,-27,-11,-8,-4,6,-2,13,-8
1545282226368697,42,5,10,3,-3,2,5,10
1545282226369684,-16,-17,-7,-1,6,-1,-3,-13
1545282226369684,-16,45,6,-19,-3,0,1,-5
1545282226391700,35,-35,2,16,-3,-3,-8,-4
1545282226391700,-11,-4,-6,-17,0,-3,6,-12
1545282226391700,1,-3,0,-2,-6,0,-13,-3
1545282226391700,-5,-13,-3,-8,-4,-2,-3,-10
1545282226406711,-12,13,4,29,9,1,7,-6
1545282226406711,-1,-5,-3,-26,-6,-1,9,7
1545282226406711,1,4,-2,2,-7,-3,2,-6
1545282226406711,-6,-17,4,-9,28,5,-3,-7
1545282226428738,-6,2,-10,-6,-3,-5,-9,-4
1545282226428738,4,4,6,8,-7,3,4,-8
1545282226429744,-9,0,-11,-4,1,-4,2,-1
1545282226429744,0,-17,2,5,3,-1,-5,-4
1545282226442746,11,7,9,-14,-13,0,-2,1
1545282226442746,6,12,-7,11,13,0,14,-7
1545282226443741,-27,-29,-9,-2,1,6,-20,-1
1545282226443741,23,-13,1,16,-5,-4,-7,-7
1545282226466753,-3,36,-3,-2,-3,0,7,6
1545282226466753,-7,-36,5,-5,-4,-6,-4,-9
1545282226466753,1,12,-4,8,-4,-3,-2,-5
1545282226466753,-5,-24,0,-7,-13,-5,12,-6
1545282226488768,-10,-4,-8,-8,6,3,1,7
1545282226488768,-2,18,10,4,-5,-3,-9,-3
1545282226490772,21,21,2,10,9,2,9,2
1545282226490772,3,12,-7,-22,-3,-2,-9,-4
1545282226502788,-5,2,11,5,1,1,0,-4
1545282226502788,-6,-7,-4,1,0,0,0,-2
1545282226511785,-9,-4,1,3,-5,-1,1,0
1545282226511785,-4,3,-1,-15,3,-2,0,-2
1545282226526806,16,2,-3,-5,2,-4,-9,-4
1545282226526806,-11,1,-1,7,-2,4,0,2
1545282226527796,-7,-9,1,-2,3,-4,4,-6
1545282226527796,-8,10,6,-10,-2,2,-2,1
1545282226548810,-9,-28,-19,39,2,-1,-1,-1
1545282226548810,12,22,22,-6,-12,-4,-6,0
1545282226550816,-11,-46,-14,-5,16,0,-1,-5
1545282226550816,-8,14,-4,-4,-6,-2,2,-1
1545282226562838,19,21,5,-9,2,3,1,2
1545282226562838,-14,-23,-12,3,-5,-4,-6,-5
1545282226571837,5,11,2,-2,-5,2,6,-1
1545282226571837,-17,1,5,11,0,-1,2,-1
1545282226586848,11,-2,-1,-24,-8,-2,5,3
1545282226586848,1,3,-8,11,17,1,-20,-2
1545282226587851,0,7,11,3,7,4,1,0
1545282226587851,9,-1,-6,8,3,0,3,0
1545282226608867,-10,-5,0,-12,-10,-1,-3,0
1545282226608867,-4,-4,-3,-17,-1,-2,2,-5
1545282226610855,-1,0,1,11,5,0,-4,-3
1545282226610855,3,-2,-9,-28,-8,-4,-4,-5
1545282226622863,-2,-1,12,0,4,4,9,8
1545282226622863,-1,-20,-4,1,-1,-4,-3,-5
1545282226631908,-2,3,-2,-8,-4,0,0,-1
1545282226631908,9,0,2,6,-5,1,-5,2
1545282226646891,-8,-6,0,-8,4,-3,-7,-6
1545282226646891,-11,0,-16,10,0,1,6,-2
1545282226647881,-4,8,9,-23,-13,-4,-5,-3
1545282226647881,12,-16,-6,15,5,-1,-16,1
