timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545117868351730,5,-2,0,2,7,1,5,0
1545117868351730,4,-1,-1,0,1,1,0,-1
1545117868352731,3,-2,-1,-2,-2,0,-2,0
1545117868352731,-1,-1,0,0,-1,-3,-2,-2
1545117868353716,-1,0,-1,-1,-2,-1,-1,0
1545117868353716,1,-1,0,-1,0,-1,-6,-1
1545117868354713,1,1,0,-1,-1,0,3,4
1545117868354713,1,-1,-3,-1,-3,-1,2,0
1545117868364721,4,-2,-2,0,3,0,-4,-4
1545117868364721,-1,0,0,0,1,1,6,0
1545117868383734,28,0,-1,-1,-1,-2,-4,-2
1545117868383734,-19,-4,-2,-2,-2,-4,-2,-3
1545117868385750,-7,-4,-1,-2,-4,-6,-15,-2
1545117868385750,7,-1,-1,-1,-1,5,7,3
1545117868397787,-4,-2,0,1,2,3,1,-1
1545117868397787,13,1,-1,-2,1,1,3,2
1545117868403780,5,1,-2,-1,-5,-3,-13,-2
1545117868403780,-6,-3,-2,-1,1,-3,10,-5
1545117868417794,20,2,0,-2,-1,1,-11,2
1545117868417794,-69,-2,1,1,4,1,-9,16
1545117868428819,-5,2,0,-2,0,0,5,-11
1545117868428819,-1,0,-3,-1,-3,-3,-2,0
1545117868440831,-1,-2,0,0,0,-3,5,7
1545117868440831,7,2,-1,-3,-1,-2,-26,-20
1545117868479892,-38,-6,0,-2,1,1,30,9
1545117868479892,2,0,-1,-4,-4,-5,-10,-9
1545117868480894,-11,-2,-2,-2,-4,-14,-18,22
1545117868480894,15,5,-3,-1,1,18,-9,-7
1545117868481894,-19,-2,1,-1,0,5,20,19
1545117868481894,-2,-6,0,2,5,7,11,24
1545117868485897,-15,0,-1,-1,-2,-4,-5,-58
1545117868485897,17,0,-4,-4,-11,-14,-48,-12
1545117868491956,-49,-5,-1,0,8,0,-12,-15
1545117868491956,8,4,2,3,1,8,23,-2
1545117868500908,8,-4,-2,-2,-2,-1,-16,43
1545117868500908,-15,-3,-2,-2,0,-8,12,-1
1545117868514920,54,7,-1,-3,-6,5,-1,17
1545117868514920,-10,-6,0,2,-1,-10,-31,-30
1545117868523936,12,10,0,-1,-5,-1,26,25
1545117868523936,-5,-10,-2,-2,6,5,13,-7
1545117868529928,14,3,-1,0,2,1,10,27
1545117868529928,23,-3,-3,-5,-5,-16,-26,-51
1545117868552962,-9,6,6,2,-2,14,-9,48
1545117868552962,9,-1,-5,2,1,3,43,2
1545117868553958,6,3,3,2,-2,-14,0,11
1545117868553958,-10,-6,-8,-4,-4,1,-82,-48
1545117868567955,-20,-3,5,5,9,2,36,-128
1545117868567955,33,-3,-3,-3,-4,-10,-42,36
1545117868568956,-6,-21,-7,-5,-4,4,-7,37
1545117868568956,31,13,6,6,8,4,49,6
1545117868589970,4,5,5,1,-3,2,47,37
1545117868589970,-27,-1,10,8,8,2,2,-45
1545117868590971,-4,-10,-8,0,-2,-8,-106,16
1545117868590971,64,36,12,2,-7,-23,12,84
1545117868613004,-48,-43,-1,-1,-1,16,-8,-55
1545117868613004,52,12,5,6,7,19,117,24
1545117868619992,15,7,-5,-12,-5,-1,-35,-112
1545117868619992,-76,-21,-9,-5,1,-7,39,49
1545117868627998,26,8,-10,-3,-3,-2,-9,74
1545117868627998,46,2,4,0,-3,-10,-76,-7
1545117868628999,-85,7,0,5,-1,-19,-40,-74
1545117868628999,1,3,2,3,-1,-1,51,60
1545117868650032,61,5,6,3,6,14,-29,-94
1545117868650032,-7,20,-6,-8,-1,14,-15,106
1545117868651014,-37,-58,-6,7,-3,-17,86,-69
1545117868651014,-52,14,8,-2,-3,-1,-118,-34
1545117868673029,62,-27,-19,-1,0,-16,37,127
1545117868673029,-115,-25,2,0,-10,-3,-64,-128
1545117868674048,12,14,-8,-4,-6,7,22,63
1545117868674048,-19,-14,-18,-2,5,-16,-6,-69
1545117868688040,-64,-44,-11,-7,-5,-9,-9,-121
1545117868688040,15,13,2,-1,8,24,59,8
1545117868689040,58,27,-4,-3,-7,-3,-9,33
1545117868689040,-10,-25,2,-2,-7,-6,22,-2
1545117868710056,-29,39,11,1,10,10,-10,69
1545117868710056,-91,-23,-6,1,0,-24,10,-43
1545117868711056,-14,12,5,-2,-1,11,-13,77
1545117868711056,-32,-6,-3,-16,-5,7,-4,-35
1545117868733072,43,16,-3,4,6,-6,17,-9
1545117868733072,-53,-2,-17,-11,-17,-25,24,87
1545117868734073,72,25,-9,0,11,21,-48,108
1545117868734073,14,-16,25,-7,-15,-6,24,-20
1545117868748083,-18,-1,23,-3,-6,-8,-13,-54
1545117868748083,-44,-19,-15,0,-4,-50,-24,53
1545117868749084,3,30,5,11,29,41,127,-66
1545117868749084,96,8,-3,2,7,33,66,127
1545117868772099,68,10,5,8,12,37,-8,0
1545117868772099,20,-20,5,-8,-10,-8,12,54
1545117868772099,16,36,4,-3,-11,-36,-59,-67
1545117868772099,-116,25,-19,6,-5,-1,63,1
1545117868793114,32,-6,-13,-3,-8,-18,-42,97
1545117868793114,109,32,23,12,6,18,5,37
1545117868793114,-55,-42,-30,-14,-15,-13,4,-65
1545117868793114,55,-9,13,4,3,3,-39,-33
1545117868808125,-27,40,-2,1,3,-1,-84,10
1545117868808125,26,-48,-22,-6,-6,-5,-35,-68
1545117868809125,-24,-15,7,-10,-12,-10,-44,35
1545117868809125,-4,-17,-21,-10,-12,-22,-38,28
1545117868832161,-28,11,25,6,9,-5,76,-24
1545117868832161,-43,25,6,-1,-5,13,-40,-67
1545117868833157,88,-23,16,6,3,22,48,78
1545117868833157,-71,-9,-21,-4,0,23,-8,-59
1545117868853176,-16,-39,-12,-16,-20,-23,-71,-62
1545117868853176,95,56,3,1,13,-1,6,-13
1545117868854164,-81,-59,-5,5,-1,-15,-21,-28
1545117868854164,-20,11,-13,-4,-6,-20,-86,112
1545117868867186,-2,11,16,-6,-9,9,65,-23
1545117868867186,15,10,-3,1,-2,4,59,53
1545117868875173,-28,-31,-28,-4,3,-4,-53,-61
1545117868875173,52,-36,-15,2,10,11,71,44
1545117868890200,-1,19,-7,0,-5,-18,50,-53
1545117868890200,25,-33,-17,-11,-11,-3,-54,-71
1545117868891199,111,51,32,13,21,17,127,28
1545117868891199,-30,2,4,-3,1,0,24,25
1545117868913220,-39,-31,-22,-6,-3,-5,-83,127
1545117868913220,-43,15,1,0,-12,-20,-27,-96
1545117868913220,-22,25,12,5,-2,0,4,15
1545117868913220,14,-8,23,13,16,2,-26,-78
1545117868927224,-40,-12,-21,2,8,9,15,-40
1545117868927224,54,-4,18,2,-5,2,10,65
1545117868934234,-97,2,18,3,-15,-10,-19,-20
1545117868934234,15,12,-31,3,-2,-16,49,-22
1545117868950245,11,22,12,10,20,12,-16,0
1545117868950245,-52,-74,-31,-13,-19,11,31,78
1545117868951245,-31,19,-30,-20,7,-8,-80,-46
1545117868951245,-56,-1,3,9,5,-1,9,-12
1545117868973296,-2,-15,25,-13,-5,-41,-16,109
1545117868973296,-29,1,17,24,23,58,11,4
1545117868974257,49,54,11,-7,-15,-10,75,116
1545117868974257,-7,-43,28,-10,-9,16,-66,-93
1545117868987307,4,11,-48,2,-8,4,-51,53
1545117868987307,47,-22,35,-4,12,-16,-46,-72
1545117868994343,-62,19,-13,-5,-19,-16,4,65
1545117868994343,98,-15,17,14,23,42,68,26
1545117869010353,-23,49,29,11,-4,-4,-2,-18
1545117869010353,37,-23,-21,4,5,-8,-25,73
1545117869011346,18,-54,18,6,13,18,13,-91
1545117869011346,37,-5,13,3,-13,-37,-13,-38
1545117869032364,11,-22,-35,-4,2,9,29,-37
1545117869032364,-57,67,-21,-10,-1,-7,-14,-9
1545117869033361,-74,-16,13,13,4,-11,7,-75
1545117869033361,-17,52,-1,-16,-14,16,-17,-37
1545117869047375,-15,-2,3,0,2,-18,57,-60
1545117869047375,-7,-14,3,-5,-12,-7,-36,-46
1545117869054380,25,8,-42,-4,3,43,31,90
1545117869054380,-72,-2,23,-14,-7,-5,-20,-120
1545117869070443,-93,-33,-31,-15,-9,13,-35,23
1545117869070443,22,46,29,-7,-11,-25,41,-37
1545117869071414,-4,-50,12,14,0,-10,13,86
1545117869071414,-15,-56,-46,-5,0,-8,45,-48
1545117869092437,-46,24,34,-2,-11,19,86,-55
1545117869092437,64,33,-19,5,5,6,48,117
1545117869093413,-8,12,27,3,3,-6,16,-45
1545117869093413,3,19,23,5,11,-9,-11,100
1545117869108430,12,-3,-43,1,-7,-14,7,-114
1545117869108430,-50,33,24,-1,7,20,78,6
1545117869114476,51,-32,-23,-1,-6,-23,32,92
1545117869114476,-66,36,-4,0,15,23,11,29
1545117869130449,104,-76,-7,-12,-8,-1,20,50
1545117869130449,-21,9,-9,1,3,8,-14,-28
1545117869131450,38,32,14,-6,-22,-40,-15,-12
1545117869131450,33,-5,12,16,-1,17,52,107
1545117869152503,18,41,17,-1,10,5,-56,13
1545117869152503,-1,-14,-3,0,-5,-10,-3,56
1545117869153461,59,0,-2,-2,3,-3,46,11
1545117869153461,-30,15,15,-14,-14,-28,-100,-90
1545117869167460,2,-5,-17,9,1,-2,-51,-56
1545117869167460,6,-48,8,5,1,30,18,103
1545117869174518,-19,32,23,-1,9,0,-27,-128
1545117869174518,117,-3,-41,-1,4,22,-34,125
1545117869190474,-1,-9,25,-3,4,-17,9,10
1545117869190474,-60,-22,-21,-3,8,-22,-23,-94
1545117869191473,-60,-35,-20,0,-8,-3,-66,55
1545117869191473,19,-11,-20,5,3,-3,29,42
1545117869212488,29,62,13,5,-7,5,45,124
1545117869212488,-66,-42,17,-13,-9,-4,36,39
1545117869213489,-28,-7,-7,4,7,15,-26,-53
1545117869213489,-4,29,0,-25,1,-15,27,3
1545117869227509,-92,38,-13,0,-7,-5,-7,40
1545117869227509,-5,48,25,26,22,24,39,-15
1545117869234504,40,-88,3,-8,-1,15,23,62
1545117869234504,43,70,-6,-5,-18,-22,-21,-59
1545117869250516,7,-79,18,-3,5,40,-51,-103
1545117869250516,-38,-9,-44,-5,4,-15,6,-55
1545117869251534,29,27,20,3,0,16,11,6
1545117869251534,-11,-92,-37,0,4,18,-29,-25
1545117869272548,-3,88,22,0,10,-28,-8,-81
1545117869272548,8,-21,-34,-11,-16,-5,-17,-72
1545117869273533,-59,-66,10,-4,4,17,-19,-3
1545117869273533,-63,-13,4,13,9,-35,-85,-17
1545117869295559,-29,-9,28,1,4,38,74,88
1545117869295559,-48,-12,-6,26,-4,1,0,-36
1545117869296560,-58,49,-9,-44,-5,-5,-59,93
1545117869296560,-10,-26,-29,11,-5,23,16,-7
1545117869310570,38,18,-16,-19,-9,-21,-37,-49
1545117869310570,-36,27,58,12,2,14,61,79
1545117869311571,13,9,-45,-30,-10,-12,6,-3
1545117869311571,25,-48,15,34,8,-7,26,-21
1545117869332574,-72,-71,-35,-18,-16,-15,-35,56
1545117869332574,93,47,43,10,-1,-2,10,29
1545117869333575,37,36,29,39,9,-3,64,-8
1545117869333575,-26,-71,-47,-56,-18,-15,-57,47
1545117869355593,72,24,-17,23,5,14,56,-6
1545117869355593,-82,-46,-19,-42,-14,-29,-90,36
1545117869356605,56,-35,-8,8,4,15,-30,-9
1545117869356605,17,61,21,11,1,-12,42,-15
1545117869370655,23,-15,34,12,3,7,62,-16
1545117869370655,-3,-4,-16,-4,0,-20,-85,-10
1545117869371603,6,30,20,8,1,23,-35,70
1545117869371603,6,34,11,15,15,33,58,68
1545117869392617,33,-5,-25,-18,-4,-19,-34,5
1545117869392617,27,-26,3,8,3,-2,1,11
1545117869393619,-11,5,-32,-2,-11,-11,-25,-34
1545117869393619,-30,26,39,-14,2,-5,4,-23
1545117869415653,-9,-17,-7,-5,0,-6,-6,12
1545117869415653,17,-5,2,-3,1,13,-23,-119
1545117869416646,0,42,-19,18,-4,-10,30,30
1545117869416646,23,5,27,-24,-19,-2,5,-22
1545117869430666,20,-46,-2,16,3,1,-4,9
1545117869430666,5,12,8,-12,2,-1,41,-20
