timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1532660961425274,-2,-2,-2,0,1,0,1,-2
1532660961425274,-1,-5,-4,-6,-1,1,-1,-1
1532660961426275,0,-1,-1,6,0,-5,-7,1
1532660961426275,-1,-1,-6,-4,0,3,3,-1
1532660961428276,-2,-3,4,1,0,2,3,2
1532660961428276,-2,3,5,3,-1,1,-4,-2
1532660961428276,-3,-1,-5,-3,-1,0,0,-1
1532660961428276,-1,-3,-1,-10,-1,-9,-2,-3
1532660961437282,-1,1,2,6,1,2,-4,-4
1532660961437282,0,0,-4,-5,-1,1,3,-1
1532660961442285,1,0,-2,4,-3,-3,-2,-4
1532660961442285,0,-1,0,0,-1,6,4,1
1532660961450309,1,1,2,0,0,2,3,0
1532660961450309,-1,-1,0,-5,-1,-12,-10,-1
1532660961465330,-2,-3,-5,-5,1,4,15,-2
1532660961465330,-2,-4,-2,-1,-5,-6,-16,-5
1532660961472322,1,-1,-2,-2,-1,-1,25,0
1532660961472322,2,3,0,7,2,2,-32,0
1532660961487337,0,0,2,-28,-4,-1,9,1
1532660961487337,-1,-3,6,27,2,1,3,-1
1532660961496343,-1,-2,-10,-8,-1,-1,-6,-1
1532660961496343,0,0,5,18,0,0,10,0
1532660961534354,0,0,-3,-2,-1,-1,-2,0
1532660961534354,0,1,0,0,1,2,-1,0
1532660961534354,-4,-2,-3,-3,0,-7,-2,-2
1532660961534354,-1,-3,0,-11,0,-3,-8,-1
1532660961535359,-1,2,1,2,1,2,-1,-1
1532660961535359,-2,-1,-6,4,-1,9,4,-1
1532660961539356,1,1,5,5,2,-16,-4,0
1532660961539356,-1,-3,-6,-7,-3,1,3,-1
1532660961547385,-1,-4,-4,-2,-1,5,6,-1
1532660961547385,-1,5,3,-8,-1,-10,-8,-3
1532660961556384,0,-6,-1,-15,1,5,2,1
1532660961556384,-1,6,3,16,-2,-9,-5,-3
1532660961562381,-3,-4,-2,4,-2,-2,1,-2
1532660961562381,-1,-5,-7,-11,-3,-3,-10,-2
1532660961578382,-1,-2,0,6,-2,5,7,0
1532660961578382,1,1,-4,-13,-3,0,8,1
1532660961584406,-2,-3,0,-2,-1,0,-11,-2
1532660961584406,0,-1,2,6,1,-10,17,-1
1532660961599415,-2,-3,-19,-16,-2,1,-9,-3
1532660961599415,0,1,12,21,0,3,4,2
1532660961607408,-1,1,2,1,-2,-1,2,-1
1532660961607408,0,-3,3,3,1,-5,-8,-1
1532660961622432,0,0,-8,-11,-2,3,8,-1
1532660961622432,-3,-4,-2,5,1,-10,-16,-1
1532660961623433,1,-1,1,-8,-2,5,10,0
1532660961623433,1,4,6,9,1,2,-2,0
1532660961645444,-2,0,1,6,-2,4,-7,-2
1532660961645444,2,2,-4,-5,0,-6,3,0
1532660961645444,0,-4,1,0,-2,-8,7,-2
1532660961645444,0,-1,-9,-6,-1,10,17,1
1532660961659459,0,2,10,8,0,-1,-30,-2
1532660961659459,0,-2,1,-5,-1,-1,-16,0
1532660961666464,1,-1,-5,-2,1,0,7,0
1532660961666464,-3,-5,-2,-2,-1,7,29,0
1532660961682509,-2,-2,2,2,-2,6,-16,-3
1532660961682509,-1,-5,-6,-4,-3,5,9,1
1532660961683458,-4,6,4,2,2,-3,-13,1
1532660961683458,-1,-6,-1,-1,-5,-13,-9,-2
1532660961705563,13,8,-2,0,-1,10,6,0
1532660961705563,-8,-8,4,-4,-5,-4,15,-3
1532660961705563,1,2,-7,0,-1,-7,19,1
1532660961705563,1,3,2,1,2,-2,-43,1
1532660961719619,-2,-5,-3,-2,-3,-9,1,1
1532660961719619,-3,-5,-4,-1,0,-1,-10,1
1532660961726624,-17,0,4,0,0,2,5,-17
1532660961726624,-11,4,-2,-3,0,0,17,9
1532660961742591,-2,1,3,5,4,2,-31,-2
1532660961742591,22,-6,-4,-2,-2,-2,4,-5
1532660961743602,15,-10,-1,0,2,-8,-19,7
1532660961743602,-1,17,-9,-3,-5,6,29,-24
1532660961764616,-26,-4,8,0,-1,1,35,9
1532660961764616,-3,-4,-2,3,14,25,0,4
1532660961765597,-26,-9,-3,-13,-15,-18,38,54
1532660961765597,-15,-14,-3,-4,-9,-13,-69,-46
1532660961787633,16,-10,1,2,1,-8,29,29
1532660961787633,-46,30,0,3,5,-1,-23,-25
1532660961788632,61,4,3,6,5,28,1,61
1532660961788632,-1,-26,-5,-4,2,6,25,7
1532660961802700,-67,0,3,-1,-2,-5,-13,8
1532660961802700,31,27,0,-2,-2,-13,-27,-27
1532660961803701,35,-1,-6,-6,-7,-8,-16,-84
1532660961803701,10,-9,5,6,9,13,16,27
1532660961826662,-45,-12,-11,-3,-4,3,-41,-115
1532660961826662,-7,-34,2,2,2,7,20,109
1532660961827663,29,6,-7,-6,-3,9,-19,-4
1532660961827663,1,11,-3,-7,-10,-13,-24,-29
1532660961847731,-70,-18,-5,9,19,21,64,22
1532660961847731,19,6,4,4,3,-28,-55,-110
1532660961848732,-6,18,8,3,-4,2,15,27
1532660961848732,13,-55,-18,-18,-6,-30,-3,108
1532660961862712,-46,24,0,-7,2,3,-23,-33
1532660961862712,80,31,16,21,13,67,41,-4
1532660961863743,-102,19,-3,4,11,-7,-41,-33
1532660961863743,-73,6,-4,-11,-10,-19,-5,-22
1532660961884722,6,-20,-16,-19,-25,-1,-55,108
1532660961884722,62,-22,2,8,18,-8,-45,-70
1532660961885708,15,-72,-39,-23,-16,-26,-5,46
1532660961885708,45,113,47,30,22,51,9,77
1532660961907719,-16,-34,-6,-3,-15,-52,7,-2
1532660961907719,13,33,10,19,6,1,-94,-14
1532660961908739,-85,-45,-25,-28,-26,-18,20,-47
1532660961908739,97,-71,-22,-15,0,2,-78,83
1532660961921747,113,24,4,5,9,14,-107,-99
1532660961921747,-86,-94,-20,-15,1,26,127,-34
1532660961929813,15,-7,19,14,9,10,-16,13
1532660961929813,-41,-15,-5,8,-9,-31,-26,-128
1532660961944815,92,0,-12,-27,-44,-56,10,-23
1532660961944815,-58,-14,-13,-22,-24,-65,36,-27
1532660961945802,-23,103,22,16,13,24,-50,-114
1532660961945802,5,-5,12,7,2,4,54,-3
1532660961967836,24,2,-9,7,12,48,100,48
1532660961967836,9,54,-10,-22,-24,-64,-1,-23
