timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545280596180303,-2,-1,-8,-12,-18,-13,-5,-4
1545280596180303,-3,-6,0,5,-2,0,-1,-2
1545280596195313,4,-1,-1,-3,0,-5,-4,-1
1545280596195313,-10,-3,3,3,7,2,4,-1
1545280596197315,-1,-8,-8,-1,-4,3,-4,-8
1545280596197315,3,-1,-2,-5,4,-5,-5,-2
1545280596218346,-2,-2,-3,-1,-10,-2,-1,1
1545280596218346,1,1,-8,-11,-6,-3,-3,2
1545280596219347,3,3,1,0,6,3,1,-6
1545280596219347,-17,-14,-4,-6,-7,-4,0,4
1545280596231356,4,0,4,4,4,-7,6,2
1545280596231356,3,0,-2,-3,-4,0,-4,-6
1545280596240362,-8,-4,2,2,6,5,3,4
1545280596240362,1,7,2,2,1,-5,-1,-1
1545280596255368,-2,-3,-2,-4,-2,0,2,-1
1545280596255368,-2,1,0,-4,4,5,-1,0
1545280596257369,1,-3,-4,-4,-10,-3,-6,-5
1545280596257369,-4,0,-1,0,-8,-8,1,0
1545280596278389,0,-1,2,2,0,-3,-3,-6
1545280596278389,4,-2,0,2,3,8,0,0
1545280596279372,-1,2,1,-5,12,5,5,5
1545280596279372,-4,-2,-3,-4,-3,0,-8,-9
1545280596291381,-1,1,1,2,-1,3,0,2
1545280596291381,-1,-3,0,0,-5,-6,-4,-6
1545280596300387,-2,-5,-6,-2,2,-9,6,6
1545280596300387,-2,-1,-2,-3,-11,-10,-12,-16
1545280596315398,1,0,1,-1,3,16,3,4
1545280596315398,0,-1,-1,2,7,-11,-3,-5
1545280596317416,5,0,1,-3,-11,-5,1,9
1545280596317416,-1,-4,-3,-4,-7,-7,-4,0
1545280596338428,3,2,1,2,-1,5,6,5
1545280596338428,-7,-6,0,6,15,4,-5,-4
1545280596339414,-11,-8,-3,1,-7,0,-11,-19
1545280596339414,-2,-1,-2,-4,-4,-9,-4,0
1545280596351423,-3,-3,-4,-7,-1,-3,-6,-1
1545280596351423,2,5,0,2,-2,8,9,3
1545280596360430,3,-1,-1,-2,11,2,0,6
1545280596360430,2,-2,3,0,1,0,2,0
1545280596375440,-1,-9,-3,-1,-6,-9,1,0
1545280596375440,-1,0,-2,-2,-11,-11,-1,2
1545280596377442,-3,-7,-2,3,0,2,1,-4
1545280596377442,-1,-3,-1,-2,6,12,-1,0
1545280596398459,0,1,1,-2,-11,-11,-2,0
1545280596398459,-1,-6,-2,-4,-4,-2,-1,4
1545280596399458,-5,0,1,-1,11,7,0,-1
1545280596399458,3,0,-5,0,-1,-1,2,2
1545280596411478,-8,-4,5,5,-8,-12,-5,-3
1545280596411478,7,6,0,-4,-9,3,0,-3
1545280596420472,-11,-4,-1,7,19,3,-2,1
1545280596420472,4,0,0,-1,-7,2,6,3
1545280596435490,-5,1,-2,-2,-1,-1,-6,-8
1545280596435490,-2,5,1,5,8,5,2,0
1545280596437486,1,-1,0,1,-9,3,-1,-1
1545280596437486,-2,-2,-4,-8,-4,-16,-1,1
1545280596458511,-2,0,1,0,-5,0,-3,-4
1545280596458511,0,2,0,5,7,5,-1,-1
1545280596459508,6,3,0,4,-8,-1,5,5
1545280596459508,-3,0,0,-16,10,3,-5,-2
1545280596480528,-3,-3,-2,17,14,1,0,-2
1545280596480528,0,1,-2,-11,-5,-5,-5,-4
1545280596482516,-1,-6,0,-5,-13,-5,-3,-2
1545280596482516,0,6,-3,-14,-17,4,-1,-1
1545280596495525,3,7,-1,-2,6,-6,5,2
1545280596495525,4,3,3,5,-25,-10,-4,-1
1545280596497526,-16,-18,-1,-10,22,5,1,-3
1545280596497526,1,-3,-1,-6,16,-1,3,-2
1545280596518541,4,-1,6,5,10,9,-2,0
1545280596518541,-7,-6,-16,-23,-38,-8,-8,-8
1545280596519542,2,18,-5,5,-11,-13,0,3
1545280596519542,-5,-20,-11,-24,-48,-15,-5,-2
1545280596540557,-2,-13,-15,40,57,21,5,2
1545280596540557,0,6,15,14,28,5,2,0
1545280596542558,6,-11,-14,-43,1,-6,-6,-2
1545280596542558,-1,16,25,5,-28,-4,-5,-1
1545280596554567,1,6,-35,-45,-57,-17,-4,-2
1545280596554567,-6,-19,-2,18,11,3,-1,-2
1545280596561572,11,29,66,86,-9,10,6,5
1545280596561572,-1,7,-36,-54,7,6,3,1
